symbol,name,marketcapital,pettm
DD,杜邦,7.296387406E10,36.81
MUFG,"Mitsubishi UFJ Financial Group, Inc.",7.28714906E10,
AMT,美国铁塔,7.24073946E10,61.8
ENB,安桥,7.21180139E10,49.54
AVF.CL,AMERICAN INTL GROUP INC,7.162219E10,4.11
RBGLY,Reckitt Benckiser Group plc,7.077E10,
AET,安泰保险,6.94088E10,19.05
LFC,中国人寿,6.890935079E10,22.57
BLK,贝莱德,6.85637432948E10,22.05
WBA,沃尔格林-联合博姿,6.83337022E10,13.36
VEA,EAFE指数ETF-Vanguard,6.82099881E10,
MDLZ,亿滋,6.802569432704E10,9.27
ASML,阿斯麦,6.79729496E10,23.84
ANTM,"Anthem, Inc.",6.77357783E10,14.9
BNS,加拿大丰业银行,6.76109509E10,10.64
CELG,新基制药,6.749342077E10,21.9
FOXAV,TWENTY FIRST CENTY FOX INC,6.67976244E10,11.41
CHTR,Charter电信,6.67066154E10,7.93
ITUB,Itau Unibanco,6.512700007E10,4.08
QQQ,纳指ETF-PowerShares,6.49680375E10,4.69
CME,芝商所,6.48500578E10,13.68
SCHW,嘉信理财,6.47947254E10,19.58
WBK,澳洲西太平洋银行,6.47798595E10,11.32
EFA,EAFE指数ETF-iShares,6.379548E10,63.36
BDX,"Becton, Dickinson and Company",6.36203528E10,393.52
SNE,索尼,6.33592129768E10,116.7
BBD,Banco Bradesco,6.278689587365E10,7.53
SLB,斯伦贝谢,6.22406995623E10,
SYK,史赛克,6.15201317E10,50.74
TAK,武田制药,6.14420927E10,
CB,安达保险,6.12226017E10,12.12
DUK,杜克能源,6.1022319E10,20.83
UL,联合利华,6.08337056E10,28.6
ISRG,达芬奇手术机器人,6.079153389E10,70.1
TJX,"TJX Companies, Inc.",6.06214204E10,20.15
VMW,VMware,6.029710866E10,52.74
EPD,Enterprise Products Partners L.P.,6.00668459E10,16.38
CNI,加拿大国家铁路,5.9786147E10,14.84
FOXA,21世纪福克斯,5.950861360166E10,18.46
BIDU,百度,5.9421273408E10,21.39
HSBC-A,汇丰银行-优先股A,5.9392E10,
E,埃尼石油,5.93644174E10,3.34
VWO,新兴市场ETF-Vanguard,5.86822377E10,8.86
ADP,"Automatic Data Processing, Inc.",5.81921584E10,34.26
VALE*,Vale S.A.,5.81820672E10,10.9
EOG,EOG能源,5.74393962E10,11.58
KHC,卡夫亨氏,5.74109909E10,5.57
PNC,匹兹堡金融服务集团,5.723925E10,11.69
AGG,美国全债市ETF-iShares,5.7184395E10,27.77
CSX,CSX Corp.,5.68801555E10,9.09
TMUS,T-Mobile US,5.68083968E10,11.71
BMWYY,宝马汽车,5.644E10,
MON,孟山都,5.58943164705E10,42.79
INTU,财捷,5.49514023E10,43.93
IEFA,iShares Core MSCI EAFE ETF,5.4872114E10,
SHPG,Shire plc ,5.48423918E10,48.7
CL,高露洁,5.43202465E10,25.88
GM,通用汽车,5.41555443E10,
IEMG,新兴市场core ETF-iShares,5.4104364E10,
AGN,艾尔建医疗,5.40399552E10,20.7
ESRX,快捷药方,5.4017788E10,11.19
SPG,西蒙地产,5.38052044E10,23.51
HMC,本田汽车,5.35095958E10,8.3
LYG,劳埃德银行,5.28389673E10,95.5
DE,约翰迪尔,5.26555528E10,22.74
DANOY,达能,5.241E10,22.48
BSX,波士顿科学,5.21554514E10,78.52
AMX,美洲移动,5.195947E10,36.02
D,道明尼资源,5.17071779E10,14.24
VOD,沃达丰,5.15695354E10,
TSLA,特斯拉,5.0800052324E10,
UBS,瑞银,5.07159384E10,8.1
MET,大都会人寿,5.063125157407E10,13.9
BK,纽约梅隆银行,5.05760332E10,12.51
SMFG,三井住友银行,5.0308481E10,6.3
SU,森科能源,5.0223677E10,13.38
OXY,西方石油,4.97033575E10,12.93
YHOO,更名AABA,4.965419347152E10,
PUK,英国保诚,4.93067394E10,21.86
GD,通用动力,4.90779374E10,16.14
VRTX,福泰制药,4.86889168E10,75.9
RTN,雷神,4.857215027E10,23.07
SO,南方公司,4.84297904E10,19.61
NTDOY,任天堂,4.744E10,81.62
ADDYY,阿迪达斯,4.731E10,
PX,普莱克斯,4.73062165E10,33.37
FDX,联邦快递,4.71481584939E10,26.25
EL,雅诗兰黛,4.6931952382E10,41.68
BMO,蒙特利尔银行,4.66391235E10,11.75
INFY,Infosys,4.66134731E10,19.4
SPGI,标普全球,4.6496788E10,27.54
ING,荷兰国际,4.64672419E10,6.9
CFRUY,历峯集团,4.641E10,
HCA,HCA控股,4.61381566E10,14.96
NOC,诺斯洛普-格鲁门,4.5849493E10,16.9
ILMN,Illumina,4.57866E10,104.25
WPZ,"Williams Partners, L.P. Common Units Representing Limited Partner Interests",4.55636453E10,66.97
LVS,金沙集团,4.551847409E10,16.3
IJH,美国中型股ETF-iShares,4.54804425E10,224.01
MPC,Marathon Petroleum Corporation,4.54512535E10,8.34
TEF,西班牙电信,4.51196244E10,18.23
NSC,诺福克南方铁路运输,4.49590329E10,8.0
CCI,Crown Castle Intl. (REIT),4.46420561E10,100.57
REGN,再生元制药,4.45324133E10,26.78
EXC,爱克斯龙,4.45017885E10,11.89
ECL,艺康,4.40589179E10,27.93
ITW,伊利诺伊机械,4.40201038E10,23.86
BBL,必和必拓,4.40050159E10,59.53
PSX,Phillips 66,4.39452431E10,7.21
