,0,1,2,3,4,5
0,000589.SZ,0,0,0,0,0
0,000590.SZ,11,10,9,8,8
0,000591.SZ,8,5,5,2,2
0,000592.SZ,15,11,7,7,7
0,000593.SZ,18,16,12,12,10
0,000595.SZ,15,12,10,10,9
0,000596.SZ,16,12,8,3,2
0,000597.SZ,6,0,0,0,0
0,000598.SZ,0,0,0,0,0
0,000599.SZ,1,1,1,0,0
0,000600.SZ,4,4,4,3,3
0,000601.SZ,3,1,0,0,0
0,000603.SZ,13,7,5,5,3
0,000605.SZ,20,14,12,11,11
0,000606.SZ,17,15,10,10,10
0,000607.SZ,9,9,9,7,7
0,000608.SZ,12,10,9,8,7
0,000609.SZ,15,10,8,8,8
0,000610.SZ,20,17,14,11,11
0,000611.SZ,9,9,5,2,1
0,000612.SZ,7,3,2,2,2
0,000613.SZ,28,24,19,18,14
0,000615.SZ,8,8,5,5,4
0,000616.SZ,12,9,8,6,6
0,000617.SZ,10,9,4,3,2
0,000619.SZ,1,0,0,0,0
0,000620.SZ,3,1,0,0,0
0,000622.SZ,27,23,22,21,21
0,000623.SZ,3,3,3,2,2
0,000625.SZ,2,1,1,0,0
0,000626.SZ,14,13,8,7,7
0,000627.SZ,6,4,2,2,2
0,000628.SZ,11,7,4,4,4
0,000629.SZ,11,9,8,4,4
0,000630.SZ,2,2,2,2,2
0,000631.SZ,4,3,2,2,2
0,000632.SZ,7,5,3,2,2
0,000633.SZ,20,17,15,15,15
0,000635.SZ,12,9,7,7,6
0,000636.SZ,27,19,18,10,8
0,000637.SZ,6,4,2,2,2
0,000638.SZ,19,16,16,15,13
0,000639.SZ,7,5,3,3,2
0,000650.SZ,15,9,3,1,1
0,000651.SZ,1,1,1,1,1
0,000652.SZ,9,7,7,5,3
0,000655.SZ,4,0,0,0,0
0,000656.SZ,3,2,1,0,0
0,000657.SZ,5,3,2,2,2
0,000659.SZ,16,12,10,7,6
0,000661.SZ,20,13,8,6,6
0,000662.SZ,18,15,11,11,10
0,000663.SZ,9,7,5,5,4
0,000665.SZ,5,5,4,4,4
0,000666.SZ,5,5,3,2,1
0,000667.SZ,1,1,1,1,1
0,000668.SZ,12,8,5,5,5
0,000669.SZ,16,14,14,14,13
0,000670.SZ,28,24,21,20,19
0,000671.SZ,12,7,4,1,1
0,000672.SZ,14,11,5,2,1
0,000673.SZ,25,19,12,9,9
0,000676.SZ,11,6,5,4,4
0,000677.SZ,14,11,11,11,10
0,000678.SZ,11,8,7,5,4
0,000679.SZ,12,7,5,5,4
0,000680.SZ,4,3,2,1,1
0,000681.SZ,25,20,13,8,4
0,000682.SZ,8,8,6,6,6
0,000683.SZ,3,1,0,0,0
0,000685.SZ,3,3,2,2,2
0,000686.SZ,9,6,5,4,3
0,000687.SZ,14,8,7,5,3
0,000688.SZ,7,6,2,1,0
0,000690.SZ,4,2,1,1,1
0,000691.SZ,19,12,10,10,10
0,000692.SZ,6,5,4,3,3
0,000693.SZ,0,0,0,0,0
0,000695.SZ,10,5,3,3,2
0,000697.SZ,12,5,4,2,1
0,000698.SZ,1,0,0,0,0
0,000700.SZ,1,1,1,1,1
0,000701.SZ,3,2,2,2,2
0,000702.SZ,6,5,3,2,1
0,000703.SZ,13,7,3,0,0
0,000705.SZ,1,1,1,1,1
0,000707.SZ,11,1,1,1,1
0,000708.SZ,2,1,0,0,0
0,000709.SZ,2,1,1,0,0
0,000710.SZ,14,11,6,4,1
0,000711.SZ,8,6,6,6,6
0,000712.SZ,14,10,10,8,6
0,000713.SZ,10,7,7,7,7
0,000715.SZ,5,4,4,4,4
0,000716.SZ,3,2,1,1,1
0,000717.SZ,9,5,1,1,1
0,000718.SZ,3,3,2,2,2
0,000719.SZ,1,0,0,0,0
0,000720.SZ,5,1,1,1,1
0,000721.SZ,12,10,7,6,6
0,000722.SZ,8,6,5,5,4
0,000723.SZ,12,9,8,7,3
0,000725.SZ,14,6,5,4,3
0,000726.SZ,1,0,0,0,0
0,000727.SZ,15,14,13,10,10
0,000728.SZ,10,7,7,7,5
0,000729.SZ,6,4,4,3,2
0,000731.SZ,6,3,1,1,0
0,000732.SZ,17,12,11,8,8
0,000733.SZ,9,3,1,0,0
0,000735.SZ,33,24,18,12,9
0,000736.SZ,5,5,5,5,5
0,000737.SZ,9,1,1,1,1
0,000738.SZ,9,3,3,3,3
0,000739.SZ,13,5,5,3,3
0,000750.SZ,13,12,10,8,8
0,000751.SZ,2,2,2,2,2
0,000752.SZ,9,8,7,7,6
0,000753.SZ,5,5,5,4,4
0,000755.SZ,13,4,3,3,3
0,000756.SZ,4,3,1,1,1
0,000757.SZ,8,8,8,8,8
0,000758.SZ,5,2,1,1,1
0,000759.SZ,4,2,2,2,2
0,000760.SZ,30,27,23,22,22
0,000761.SZ,5,2,2,1,0
0,000762.SZ,4,3,1,1,1
0,000766.SZ,12,10,8,5,5
0,000767.SZ,2,1,1,1,0
0,000768.SZ,8,2,1,0,0
0,000776.SZ,6,4,4,3,3
0,000777.SZ,9,7,6,4,3
0,000778.SZ,2,1,0,0,0
0,000779.SZ,7,5,2,2,2
0,000780.SZ,5,3,3,3,3
0,000782.SZ,11,6,2,1,0
0,000783.SZ,10,8,4,3,3
0,000785.SZ,12,9,9,8,8
0,000786.SZ,9,5,4,2,0
0,000788.SZ,9,6,5,5,5
0,000789.SZ,18,10,5,5,4
0,000790.SZ,18,17,15,15,14
0,000791.SZ,5,3,3,3,3
0,000792.SZ,7,5,4,2,2
0,000793.SZ,11,9,8,5,4
0,000795.SZ,10,8,6,5,5
0,000796.SZ,7,4,0,0,0
0,000797.SZ,8,4,3,3,2
0,000798.SZ,8,6,1,1,0
0,000799.SZ,9,2,1,1,1
0,000800.SZ,8,5,3,3,3
0,000801.SZ,16,8,6,4,4
0,000802.SZ,10,8,6,5,4
0,000803.SZ,14,5,4,1,1
0,000806.SZ,26,21,18,15,15
0,000807.SZ,10,8,7,6,3
0,000809.SZ,3,1,0,0,0
0,000810.SZ,17,12,10,10,10
0,000811.SZ,7,5,4,3,3
0,000812.SZ,14,12,10,8,6
0,000813.SZ,8,5,4,3,1
0,000815.SZ,11,7,5,5,5
0,000816.SZ,16,11,10,9,9
0,000818.SZ,7,5,3,1,1
0,000819.SZ,14,8,7,7,7
0,000820.SZ,27,22,19,16,13
0,000821.SZ,9,7,6,1,0
0,000822.SZ,3,2,1,1,0
0,000823.SZ,17,9,7,3,2
0,000825.SZ,7,3,3,3,2
0,000826.SZ,4,1,0,0,0
0,000828.SZ,3,2,1,0,0
0,000829.SZ,7,7,5,3,2
0,000830.SZ,17,11,5,4,2
0,000831.SZ,10,6,5,3,3
0,000833.SZ,2,1,1,1,0
0,000835.SZ,14,11,9,9,8
0,000836.SZ,11,8,8,8,8
0,000837.SZ,7,5,2,2,2
0,000838.SZ,8,7,4,2,2
0,000839.SZ,13,11,8,7,5
0,000848.SZ,3,2,0,0,0
0,000850.SZ,6,3,2,2,2
0,000851.SZ,18,9,8,6,6
0,000852.SZ,15,12,7,6,6
0,000856.SZ,14,11,11,8,8
0,000858.SZ,11,6,1,1,0
0,000859.SZ,13,13,13,13,13
0,000860.SZ,22,18,13,9,9
0,000861.SZ,3,2,1,1,1
0,000862.SZ,21,19,15,15,15
0,000863.SZ,4,3,1,1,1
0,000868.SZ,11,7,6,6,6
0,000869.SZ,3,0,0,0,0
0,000875.SZ,3,1,1,0,0
0,000876.SZ,11,7,4,3,2
0,000877.SZ,13,7,5,4,2
0,000878.SZ,3,3,3,2,1
0,000880.SZ,2,2,0,0,0
0,000881.SZ,7,6,5,4,3
0,000882.SZ,8,8,5,4,4
0,000883.SZ,1,0,0,0,0
0,000885.SZ,7,2,1,1,1
0,000886.SZ,9,4,4,2,2
0,000887.SZ,5,2,1,1,0
0,000888.SZ,2,2,1,0,0
0,000889.SZ,5,2,0,0,0
0,000890.SZ,14,11,9,9,9
0,000892.SZ,13,7,6,6,5
0,000893.SZ,15,3,2,2,2
0,000895.SZ,5,1,1,0,0
0,000897.SZ,13,9,7,7,6
0,000898.SZ,3,1,1,1,1
0,000899.SZ,2,1,1,1,1
0,000900.SZ,2,1,1,0,0
0,000901.SZ,10,6,5,4,4
0,000902.SZ,2,1,1,1,0
0,000903.SZ,3,2,2,2,2
0,000905.SZ,5,3,2,2,2
0,000906.SZ,1,1,1,1,1
0,000908.SZ,9,4,2,2,2
0,000909.SZ,8,4,4,3,3
0,000910.SZ,10,6,3,2,1
0,000911.SZ,13,10,7,5,5
0,000912.SZ,3,0,0,0,0
