id,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange,index,Name_CN
6894,ACRS,"Aclaris Therapeutics, Inc.",6.46,264447793.86,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,NASDAQ,37,
6895,ACMR,"ACM Research, Inc.",10.45,167239062.1,,2017.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,NASDAQ,38,
6896,ACNB,ACNB Corporation,38.26,269435490.24,,,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,NASDAQ,39,
6897,ACOR,"Acorda Therapeutics, Inc.",16.8,798980095.2,,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,NASDAQ,40,
6898,ATVI,"Activision Blizzard, Inc",47.13,35962580339.34,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,NASDAQ,41,动视暴雪
6899,ADMS,"Adamas Pharmaceuticals, Inc.",8.59,234812228.47,,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,NASDAQ,42,
6900,ADMP,Adamis Pharmaceuticals Corporation,2.63,124376271.54,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,NASDAQ,43,
6901,ADAP,Adaptimmune Therapeutics plc,5.31,406450594.08,76544368.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,NASDAQ,44,
6902,ADUS,Addus HomeCare Corporation,64.33,842617177.15,,2009.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,NASDAQ,45,
6903,AEY,"ADDvantage Technologies Group, Inc.",1.3868,14292561.886,,,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,NASDAQ,46,
6904,IOTS,Adesto Technologies Corporation,5.05,148642417.1,,2015.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots,NASDAQ,47,
6905,ADIL,"Adial Pharmaceuticals, Inc",7.6,51062492.4,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil,NASDAQ,48,
6906,ADILW,"Adial Pharmaceuticals, Inc",1.4501,0,,2018.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw,NASDAQ,49,
6907,ADMA,ADMA Biologics Inc,3.4,157594226.2,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,NASDAQ,50,
6908,ADBE,Adobe Inc.,241.95,118103906857.65,,1986.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,NASDAQ,51,Adobe
6909,ADOM,"ADOMANI, Inc.",0.27,19637718.84,,2017.0,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom,NASDAQ,52,
6910,ADTN,"ADTRAN, Inc.",11.77,560843383.65,,1994.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn,NASDAQ,53,
6911,ADRO,"Aduro Biotech, Inc.",2.8,222331435.2,,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro,NASDAQ,54,
6912,ADES,"Advanced Emissions Solutions, Inc.",11.08,220665191.48,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades,NASDAQ,55,
