cor,symbol,name,marketcapital,pettm
-0.2617449226247047,VHC,VirnetX Holding Corp,368529700.0,
-0.30786194313685683,ADS,联合数据系统,9243611900.0,9.91
-0.41824423584043724,TIVO,TiVo Corporation,1384264600.0,
-0.42762334626900317,LQDT,Liquidity Services,282157100.0,
-0.49082752705192306,SPEX,Spherix Incorporated,6338600.0,
-0.5180955434697712,MXWL,Maxwell技术,93702732.84,
-0.5224538232626893,SREV,"ServiceSource International, Inc.",92721600.0,
-0.5336941135856237,CREG,中国循环能源,7125994.79,1.36
-0.5411936408598039,EGOV,NIC Inc.,919322600.0,15.69
-0.5415622283174579,QTRH,Quarterhill Inc.,113114200.0,
-0.5418401181509488,CATM,Cardtronics plc,1360165700.0,52.68
-0.5689231452391043,GPRO,GoPro,716658690.0,
-0.5858352768541274,MCHX,"Marchex, Inc. - Class B",140336700.0,
-0.5866189743263962,ACTG,阿卡西亚,150407100.0,
-0.6289930372126754,LC,Lending Club,1234125039.5,
-0.638469877276421,PFSW,"PFSweb, Inc.",124029900.0,80.5
-0.6720132117077441,MARA,"Marathon Patent Group, Inc.",9774100.0,
-0.680408637670195,BSQR,BSQUARE科技,27725200.0,
-0.6963171139242393,FCEL,燃料电池能源,22448822.39,
-0.7002135553640779,SCOR,康姆斯克,1001414200.0,
-0.7816908914219494,NCTY,第九城市,28459446.19,
-0.7871409845701421,IMAX,IMAX Corp.,1320345120.0,204.0
-0.8167790713706449,XELB,"Xcel Brands, Inc",25598300.0,
-0.8247808897237952,REFR,Research Frontiers Incorporated,63069800.0,
-0.8359879633942577,DBD,迪堡金融设备,300690900.0,
-0.84000301793573,KODK,柯达,128347836.66,
-0.8776214203903989,ALJJ,"ALJ Regional Holdings, Inc.",52970800.0,
-0.8787788590341761,NLSN,尼尔森,8970428500.0,28.08
-0.8955813369897528,PBI,必能宝,1341491100.0,5.22
-0.9074553870665163,DHX,戴斯控股,108954300.0,6.24
