cor,symbol
0.960627098479332,CWST
0.9562486113916023,PCYO
0.9474062857663839,VG
0.9344527750743211,WCN
0.9319536626490181,OTEL
0.9290790996266116,WM
0.9271869370615593,NEE
0.9228457155234947,VVC
0.922540991135718,RSG
0.9162341664712639,RGCO
0.9123239523679708,OTTR
0.9023549896823609,GTT
0.8991312232903478,AWR
0.890194698529608,SJW
0.8732133951629804,ALE
0.8688467954164801,EE
0.8659965453998226,CWT
0.865017590733976,CPK
0.8594884847289747,PEG
0.857418899264116,AUDC
0.8560432295608188,IDA
0.8552304636272211,AVA
0.8497801701000285,CTWS
0.8486066306749713,TGS
0.8444837883410068,AEE
0.8434844018923955,TMUS
0.8421702311204806,NJR
0.8408568886431371,OKE
0.8402910020429784,ECOL
0.8291977501370091,EXC
0.8210253399718395,ATO
0.8110489381331475,OGS
0.8083263282051939,UTL
0.806876180036248,DTE
0.8009017230557246,CNP
0.7997412059896915,ARTNA
0.7979853005530684,AQN
0.7973842762427757,UGI
0.788305270769212,AWK
0.7781399759533493,LNT
0.7775185407018054,PNM
0.7750217142372566,WTR
0.7729243092912064,NRG
0.7666690071022755,CMS
0.766123736265286,XEL
0.7625072722724587,NTGR
0.7583770637179924,ORA
0.7429980113484423,EDN
0.7423334023143244,MSEX
0.7365306607305605,SR
0.7301351699598444,NEP
0.7270394258426515,WEC
0.7217362692050893,ZAYO
0.7215758173841991,HE
0.7146750818782476,TU
0.7111398250924164,SHEN
0.7097904859454167,AEP
0.7013680325295047,ES
0.689352440791723,CDZI
0.6810673389551989,NWN
0.6794359433274928,NI
0.6751831509600847,OGE
0.6704661748406363,CHT
0.6616863044074093,PAM
0.6561762292889097,CIEN
0.6555988698278602,PNW
0.649442918713903,SWX
0.6379285432408108,CQP
0.6343897619396727,SRE
0.6218748500164385,POR
0.6152682870764831,ED
0.5783476241183928,FTS
0.5709703619656387,DZSI
0.555861707718039,TSU
0.5546347380032828,EBR
0.5510981476800357,SJI
0.5492643917034346,CWCO
0.5483305238893258,ETR
0.5437017160508061,FN
0.5297748811789921,AM
0.5289294729549848,DCP
0.5281824791428911,PLT
0.5272370648860971,YORW
0.5246658953713943,ENIA
0.4662097774568029,TEO
0.43020648271892414,SKM
0.4191955170507224,BKH
0.4183525368432561,SBS
0.3975670722948409,BEP
0.379460994732636,CNXM
0.37385668271841377,S
0.37070584114152366,DUK
0.35212509762935634,ENBL
0.3425092377080276,CPL
0.31633775905711653,TRP
0.3054184825545243,MBT
0.3020946352686668,MTSL
0.2980310223415376,VZ
0.29092111208673366,PTNR
0.2900648681360115,LNG
0.2897477879041387,TDS
0.2650859720134827,AWX
0.2484464355724068,USM
0.2478591503372242,NWE
0.24286375347705488,KT
0.2202187804145865,CEL
0.19355819781978628,ORAN
0.16025426246129265,FE
0.1200557747917119,USAC
0.09929611744754069,AMX
0.048973307248961775,ELLO
0.025691643935157812,D
0.024481902957379592,EIX
0.02300369268440616,VIV
0.019670534767031782,ALSK
0.01737832407781716,SPKE
-0.008399916727503507,UZB
-0.022323838184435073,NFG
-0.0693491715146245,CHU
-0.08638049234045324,TAC
-0.08792009036725142,EPD
-0.11965909441818275,TDA
-0.12881160562183513,BCE
-0.18385563336373834,UZA
-0.18845630768567623,CIG
-0.18997763137130197,TRGP
-0.1918158489175981,TDE
-0.19431426741736765,AY
-0.2003066835474667,VST
-0.21481336043196445,SO
-0.21885246705330072,ET
-0.23117896603543148,ADTN
-0.23419365585503177,ELU
-0.23485278268198254,ENLK
-0.2510309318504148,EAE
-0.25595766747959325,TDJ
-0.2582975307675962,TDI
-0.2585127892573458,TVC
-0.26133865417589736,WES
-0.2631574195226914,WMB
-0.2978292165826142,DTQ
-0.3040181143067934,EAB
-0.3107015029113673,T
-0.3225367813947786,UGP
-0.33001530700187026,ENLC
-0.33694511316855486,AMID
-0.33898197003167424,OHGI
-0.3406098900561462,AROC
-0.3593022734433758,DUKH
-0.3792263889151894,PEGI
-0.3862915304331395,CHA
-0.3916904869514191,ENJ
-0.3923030275311326,TERP
-0.41610883489696837,PPL
-0.4354620493240392,PPX
-0.4364223929369211,TVE
-0.4441280433873698,WGP
-0.4444071925136195,ESNC
-0.44548655138942195,ATNI
-0.45584780125497404,PCG
-0.4568775107311927,ATTO
-0.45937998121310525,CBB
-0.4721923804120666,SXE
-0.4965906050811823,ELP
-0.5022561329908117,KMI
-0.5099456431917179,SMLP
-0.5284924309417518,WSTL
-0.5449654195923216,HNP
-0.5498930595396574,CLFD
-0.564026233024183,VZA
-0.5809296671186182,VEON
-0.5810797546971321,TKC
-0.5848472822481726,IGLD
-0.5867137018463562,CLNE
-0.6074923674265302,GNE
-0.60921239917098,TEF
-0.6226099878132153,SPOK
-0.6347490030557462,OPTT
-0.653675595853685,GLOW
-0.6593607698254491,TCP
-0.6658014088539462,INFN
-0.6668329312102189,VOD
-0.6703750706318935,SKYS
-0.6880761845632576,DM
-0.70132948200223,EQM
-0.7057565552869234,CTV
-0.7122026960282164,PHI
-0.7219598664897408,CTY
-0.7390072522725709,TLK
-0.7441661449683017,IDT
-0.7784481245753999,JE
-0.7856486875310579,CTL
-0.7897841142941014,CHL
-0.8123523916483567,CNSL
-0.8276872210134448,KEP
-0.8311854104685585,SUNW
-0.8560012153420037,WIN
-0.8937207438662431,BT
-0.9044704696523568,FTR
-0.9110122443971733,NGG
